SexCode,MaritalCode,PrevEdCode,DDVeteran,DaysEnrollToStart,AgeAtStart,AgeAtGrad,GPA,MinutesAttended,HoursAttempt,HoursEarned,HoursReq,MinutesAbsent,TransferCredits,TransferGPA,MinEFC,MaxENTEntranceScore,gradFlag
M,NULL,SOMECOLL,0,88,21,24,0,1050,360,225,2565,150,15,2.7,35799,86.5,0
F,UN,ASSOC,0,97,22,24,3.3,110584,2520,2520,2565,4276,27,2.58,71,92,1
F,S,SOMECOLL,0,90,24,26,3.81,107235,2514,2514,2565,1035,37.72,3.3,0,90,1
F,NULL,HS,0,47,18,22,1.9,28907,495,315,2565,793,NA,NA,0,83,0
F,S,BACH,0,108,18,21,3.82,139645,2520,2520,2565,350,9,NA,0,NA,1
M,NULL,ASSOC,0,115,25,28,3.29,115598,2565,2520,2565,2777,22,2.6,4314,80.5,1
M,NULL,BACH,0,79,24,27,2.92,120828,2520,2520,2565,9777,13,NA,0,NA,1
M,NULL,SOMECOLL,0,54,23,26,2.83,123027,2595,2520,2565,9423,13,NA,2025,NA,1
F,NULL,HS,0,82,18,21,3.49,141930,2520,2520,2565,1755,NA,NA,0,82,1
F,S,SOMECOLL,0,55,34,36,3.55,94360,2250,2250,2250,2300,38,3,0,NA,1
F,NULL,SOMECOLL,0,111,21,23,3.18,113929,2550,2520,2565,2246,28.04,3.22,0,NA,1
M,S,BACH,0,101,27,30,3.25,109490,2520,2520,2565,2275,37,2.85,0,NA,1
F,UN,SOMECOLL,1,55,21,24,3.55,121893,2554,2509,2565,2337,19,3.15,13004,82.5,1
F,UN,SOMECOLL,0,74,18,22,3.07,138208,2655,2565,2565,2782,9,2.43,0,NA,1
M,M,SOMECOLL,0,38,35,38,3.8,117696,2610,2610,2565,2154,36,3.17,0,88.5,1
M,NULL,SOMECOLL,0,13,22,24,2.62,75710,1762.5,1620,2565,3645,21,NA,0,87.5,0
M,S,SOMECOLL,0,81,22,25,2.86,132566,2520,2520,2565,2904,3,NA,0,82,1
F,UN,SOMECOLL,0,86,24,27,2.99,128124,2700,2565,2565,8781,15,2.71,0,NA,1
F,S,ASSOC,0,98,26,28,3.69,116530,2514,2514,2565,1665,34,3.05,0,82.5,1
F,S,SOMECOLL,0,41,20,23,3.4,146517,2940,2595,2565,1128,17,3.77,6891,NA,1
F,NULL,BACH,0,68,21,24,3.36,136251,2610,2565,2565,3054,9.35,2.43,0,NA,1
F,NULL,HS,0,80,18,21,3.46,147142,2520,2520,2565,803,NA,NA,2,NA,1
F,NULL,BACH,0,17,21,24,3.61,124045,2250,2250,2250,665,10,3.5,0,91,1
F,NULL,SOMECOLL,0,65,20,22,3.45,111986,2520,2520,2565,2899,27,3.1,0,NA,1
F,NULL,HS,0,101,18,22,2.62,80270,1605,1245,2565,5920,NA,NA,1185,90,0
M,NULL,SOMECOLL,0,40,23,25,1.6,24095,945,765,2565,2605,27,2.61,1743,87,0
M,UN,ASSOC,0,101,23,26,3.23,108413,2520,2520,2565,3362,27,NA,0,80.5,1
F,NULL,SOMECOLL,0,76,30,33,0.43,6150,135,0,2250,1950,9,NA,0,87,0
M,S,SOMECOLL,0,34,20,23,3.04,143464,2850,2565,2565,6306,12,NA,51088,NA,1
M,NULL,HS,0,27,18,22,0,5915,135,0,2565,2185,NA,NA,0,85,0
F,NULL,SOMECOLL,0,89,23,25,2.92,103227,2520,2520,2565,7578,28,2.68,0,81,1
F,NULL,ASSOC,0,67,20,22,3.46,83639,2130,2130,2565,2211,37,NA,0,85.5,0
F,NULL,SOMECOLL,0,96,20,23,1.09,19490,495,315,2565,4210,6,2.75,0,79.5,0
M,UN,SOMECOLL,0,87,29,32,2.93,85635,1807.5,1635,2565,7520,9,3.33,990,NA,0
F,M,BACH,0,72,26,29,3.7,129975,2520,2520,2565,1725,12,NA,0,82.5,1
M,NULL,SOMECOLL,0,87,25,29,3.16,143472,2595,2565,2565,4323,3,2.33,0,85.5,1
F,UN,SOMECOLL,0,86,22,24,3.69,106345,2520,2520,2565,2910,28,NA,6738,NA,1
M,UN,SOMECOLL,0,129,27,32,2.74,104758,2085,1380,2565,8492,NA,NA,0,82,0
F,NULL,SOMECOLL,0,117,19,22,1.72,28117,450,225,2565,383,NA,1.5,9538,79,0
F,UN,BACH,0,124,36,38,3.63,117830,2520,2520,2565,1100,24,3.33,0,83,1
F,S,SOMECOLL,0,5,22,26,2.99,135632,2820,2595,2565,4371,23,2.51,0,91.5,1
F,S,SOMECOLL,0,7,21,24,2.06,40968,1071,783,2565,4692,NA,2.76,4749,84,0
M,NULL,SOMECOLL,0,157,20,23,2.73,27840,495,495,2565,0,NA,NA,0,81,0
F,NULL,SOMECOLL,0,17,19,22,2.7,72880,1500,1410,2565,5930,7,2.38,0,NA,0
F,NULL,HS,0,27,25,28,0,5250,225,0,2565,2550,NA,NA,0,87.5,0
F,NULL,SOMECOLL,0,69,22,24,3.69,104110,2520,2520,2565,980,40,NA,0,NA,1
F,NULL,SOMECOLL,0,72,21,23,3.49,103325,2520,2520,2565,1210,37,NA,0,NA,1
F,M,BACH,0,34,24,27,3.34,110150,2520,2520,2565,2285,NA,NA,0,82,1
F,S,SOMECOLL,0,67,21,24,3.09,120855,2520,2520,2565,2220,19.36,2.48,0,78,1
F,S,ASSOC,0,74,24,27,2.14,20040,729,567,2565,1500,25,2.02,0,83,0
M,S,HS,0,26,24,28,2.61,86713,1560,1245,2565,4665,NA,NA,0,86,0
F,P,BACH,0,61,30,33,3.64,105365,2700,2520,2565,2710,34,2.99,0,81.5,1
M,NULL,SOMECOLL,0,80,25,28,3.01,112150,2370,2250,2250,9665,19,NA,0,81,1
F,UN,ASSOC,0,101,21,24,1.6,27605,675,360,2565,4795,9,2.37,3243,84.5,0
F,NULL,SOMECOLL,0,40,29,31,3.82,99640,2520,2520,2565,4090,48,3.78,0,90.5,1
F,NULL,SOMECOLL,0,27,23,27,2.22,22320,405,180,2565,720,NA,2.2,0,84,0
F,NULL,SOMECOLL,0,54,20,23,2.49,22760,450,270,2565,1540,3,2.13,70,79.5,0
M,M,BACH,0,59,25,27,2.88,107605,2640,2565,2565,7580,27,2.21,616,86.5,1
F,NULL,BACH,0,46,24,26,3.27,100904,2610,2565,2565,5086,37,NA,0,91.5,1
F,NULL,ASSOC,0,32,21,23,2.57,30330,1155,1020,2565,930,34,3.57,7282,80,0
F,UN,SOMECOLL,0,95,21,24,3.19,142309,2700,2565,2565,3206,7,NA,0,84,1
F,NULL,SOMECOLL,0,94,20,22,3.22,24540,855,765,2565,60,23,2.86,0,NA,0
F,NULL,SOMECOLL,0,80,24,27,3.53,138607,2610,2565,2565,1088,12,2.1,0,87.5,1
F,NULL,SOMECOLL,0,53,21,24,2.93,97170,2040,1965,2565,1140,20,2.98,0,79.5,0
M,NULL,SOMECOLL,0,128,26,29,3.27,115584,2250,2250,2250,2691,16,1.5,6908,NA,1
F,M,SOMECOLL,0,145,35,38,3.11,134103,2388,2307,2250,2512,10,2.75,0,77.5,1
F,NULL,SOMECOLL,0,66,21,23,2.82,27071,1200,1110,2565,1529,40,NA,7979,89,0
F,NULL,SOMECOLL,0,66,22,24,3.4,104395,2520,2520,2565,1650,40,3,3247,NA,1
M,NULL,SOMECOLL,0,122,22,25,3.67,131372,2520,2520,2565,1648,9,3.26,0,86,1
M,NULL,SOMECOLL,0,54,25,28,0,1785,315,180,2565,615,12,NA,0,82,0
F,NULL,SOMECOLL,0,59,21,24,2.72,76075,1425,1245,2565,2180,3,NA,0,87,0
F,NULL,SOMECOLL,0,79,18,21,3.33,138735,2520,2520,2565,1245,3,NA,0,NA,1
F,NULL,SOMECOLL,0,90,22,24,3.24,113510,2610,2520,2565,930,31,2.49,0,73.5,1
F,NULL,GED,0,65,28,31,2.44,20700,360,315,2565,600,NA,NA,0,80.5,0
F,NULL,SOMECOLL,0,117,23,27,3.25,138111,2520,2520,2565,1719,3,3,0,85.5,1
F,NULL,SOMECOLL,0,24,21,25,0,3900,180,45,2565,600,3,NA,0,80.5,0
F,NULL,BACH,0,23,23,26,3.88,106586,2520,2520,2565,2929,34,3.54,0,84.5,1
F,NULL,ASSOC,0,93,34,36,3.47,108768,2250,2250,2250,1227,22,2.7,0,84,1
F,NULL,SOMECOLL,0,16,22,24,2.37,73459,1687.5,1500,2565,1771,19,NA,1952,82,0
M,NULL,SOMECOLL,0,46,22,25,3.07,105255,2167.5,2010,2565,2895,14,2.06,0,NA,0
F,UN,SOMECOLL,0,122,22,25,2.41,25769,585,405,2250,3331,13,NA,0,85.24,0
F,M,BACH,0,100,22,25,3.38,119538,2520,2520,2565,3307,23,3.36,0,NA,1
F,NULL,SOMECOLL,0,87,20,22,3.67,98563,2520,2520,2565,3567,37,3.58,1393,NA,1
F,NULL,BACH,0,104,24,26,3.63,113366,2520,2520,2565,1819,21,3.07,2174,NA,1
F,S,BACH,0,81,22,26,2.78,141805,2820,2610,2565,4140,13,2.99,0,87.5,1
F,NULL,SOMECOLL,0,54,24,26,3.55,106888,2610,2565,2565,2352,40,NA,1988,82,1
F,M,BACH,0,102,25,27,3.42,118070,2550,2550,2565,2590,27.01,2.61,6906,77,1
F,NULL,SOMECOLL,0,93,25,29,2.95,109075,2310,1965,2565,3485,12,2.44,0,89,0
M,S,BACH,0,97,20,24,2.47,34175,765,585,2565,5005,5.34,2.54,10174,90,0
F,UN,SOMECOLL,0,152,22,24,3.14,97061,2520,2520,2565,3714,37,2.63,492,NA,1
F,UN,SOMECOLL,0,94,19,22,2.9,25390,975,810,2565,0,26,2.64,0,NA,0
F,S,HS,0,124,18,21,3.25,147975,2685,2520,2565,1575,NA,NA,8950,82,1
M,NULL,SOMECOLL,0,118,19,22,1.86,23162,405,180,2565,1138,NA,1.2,57005,NA,0
F,S,HS,0,81,21,23,3.54,125925,2520,2520,2565,3285,13,NA,0,NA,1
F,NULL,HS,0,65,20,23,2.33,30645,630,450,2565,5055,NA,NA,56121,80,0
F,S,BACH,0,66,21,24,3.63,126667,2520,2520,2565,1338,14,NA,0,88.5,1
F,NULL,SOMECOLL,0,65,44,46,1.89,16720,855,765,2250,680,40,2.82,0,NA,0
F,NULL,SOMECOLL,0,65,19,22,3.36,21285,360,360,2565,15,NA,2.97,0,86.5,0
F,NULL,SOMECOLL,0,72,25,28,3.31,115515,2640,2520,2565,3720,26,2.61,0,85.5,1
F,NULL,BACH,0,118,26,29,3.59,115580,2250,2250,2250,1260,25,3.36,294,NA,1
F,NULL,SOMECOLL,0,135,21,24,3.24,109772,2655,2520,2565,5568,41,2.88,200,NA,1
F,NULL,SOMECOLL,0,53,21,23,3.5,101510,2520,2520,2565,4645,38,2.7,0,NA,1
F,S,BACH,0,27,20,22,3.73,112047,2520,2520,2565,753,37,3.47,0,NA,1
F,NULL,SOMECOLL,0,82,21,23,3.53,101430,2520,2520,2565,1785,37,NA,0,81,1
M,S,BACH,0,54,23,27,3.33,136743,2520,2520,2565,2817,NA,NA,0,83,1
F,NULL,SOMECOLL,0,30,21,24,3.41,126157,2700,2520,2565,2648,22,3.27,0,84.5,1
F,S,BACH,0,59,22,25,3.5,110320,2520,2520,2565,3785,27,2.9,2138,84.5,1
F,M,SOMECOLL,0,46,27,30,3.13,132432,2700,2565,2565,4998,17,2.39,0,81.5,1
F,NULL,SOMECOLL,0,158,21,24,3.27,102612,2565,2520,2565,2932,41,2.97,0,79,1
F,NULL,HS,0,73,18,22,2.06,23910,405,225,2565,390,NA,NA,1222,81,0
F,D,SOMECOLL,0,33,24,28,2.89,158002,2865,2550,2565,2798,NA,2.55,0,87.5,1
F,NULL,SOMECOLL,0,67,26,28,3.73,100600,2250,2250,2250,1640,30,NA,0,86,1
F,NULL,SOMECOLL,0,83,20,23,2.96,137287,3022.5,2520,2565,10299,19,NA,NA,NA,1
F,NULL,HS,0,82,17,20,2.78,79050,1365,1290,2565,1095,NA,NA,414,86,0
M,S,BACH,0,45,28,31,3.16,126571,2520,2520,2565,94,15,2.35,10212,NA,1
F,NULL,HS,0,65,18,21,3.79,142895,2520,2520,2565,665,NA,NA,15121,88,1
F,S,SOMECOLL,0,62,25,28,3.9,128560,2520,2520,2565,2815,25,3.41,2798,89,1
F,UN,SOMECOLL,0,139,23,26,3.15,131868,2520,2520,2565,2667,9,NA,0,NA,1
F,UN,BACH,0,80,26,29,3.31,114715,2565,2520,2565,3590,26,NA,0,79.5,1
F,NULL,SOMECOLL,0,101,24,27,2.95,144330,2970,2520,2565,11415,3,NA,0,87.5,1
F,NULL,SOMECOLL,0,87,23,26,2.9,135883,2655,2520,2565,7697,9,3.24,0,90.5,1
F,NULL,ASSOC,0,11,20,23,3.39,103646,2565,2520,2565,2749,35,3.02,0,87,1
F,S,BACH,0,60,22,26,3.33,141567,2730,2595,2565,3678,24.03,2.83,0,NA,1
F,NULL,SOMECOLL,0,52,20,23,3.52,120462,2520,2520,2565,1293,20,2.78,15925,88,1
M,NULL,SOMECOLL,0,33,19,22,2.25,38057,810,540,2565,4543,3,NA,0,NA,0
F,NULL,SOMECOLL,0,110,21,24,3.36,122245,2520,2520,2565,3020,15,2.48,0,NA,1
F,S,BACH,0,75,18,22,3.4,145935,2775,2565,2565,4620,NA,NA,46625,81.5,1
F,NULL,SOMECOLL,0,33,25,28,2.06,31170,540,360,2565,1830,NA,2.27,0,83,0
F,M,ASSOC,0,75,36,39,2.88,63690,1470,1299,2565,380,33,2.94,0,86,0
F,NULL,SOMECOLL,0,107,22,24,3.38,103155,2520,2520,2565,2350,34,2.67,0,80,1
M,NULL,SOMECOLL,0,89,21,24,2.58,82245,1837.5,1747.5,2565,2550,29,2.5,0,88,0
F,NULL,SOMECOLL,0,26,22,25,2.46,50864,1335,1065,2565,6826,17,2.89,10,75,0
F,NULL,BACH,0,107,23,26,0,3600,630,495,2565,0,29,3.2,2028,82.5,0
F,S,SOMECOLL,0,75,20,22,3.26,130424,2295,2295,2250,760,10,2.54,0,NA,1
F,S,ASSOC,0,93,25,27,3.21,127857,2520,2520,2565,4188,15,NA,0,87.5,1
F,M,BACH,0,93,32,36,3.98,139219,2550,2550,2565,815,3,4,0,96,1
F,NULL,SOMECOLL,0,83,17,21,2.51,78378,1470,1110,2565,3702,6,2.42,0,80.5,0
F,NULL,SOMECOLL,0,32,25,29,1.75,14730,360,135,2565,1590,NA,NA,0,NA,0
M,NULL,SOMECOLL,0,20,25,28,2.82,58761,1425,1200,2565,1559,22,2.3,4225,89,0
F,P,ASSOC,1,19,28,30,3.21,116235,2316,2316,2250,885,33,2.78,0,82.5,1
F,NULL,BACH,0,27,23,25,3.39,101998,2520,2520,2565,3047,33,2.74,0,NA,1
F,NULL,SOMECOLL,0,20,27,30,2.66,30710,1320,1095,2565,490,41,3.32,0,68.5,0
F,NULL,SOMECOLL,0,94,24,26,3.38,122577,2520,2520,2565,1313,17,NA,0,86,1
M,NULL,SOMECOLL,0,115,25,28,3.38,70725,1500,1425,2565,2505,13,3.32,0,NA,0
F,NULL,SOMECOLL,0,41,27,30,2.62,66810,1680,1575,2250,6705,27,NA,0,NA,0
F,S,BACH,0,156,27,30,3.2,112727,2820,2520,2565,3208,40,2.66,0,NA,1
F,NULL,SOMECOLL,0,53,22,25,1.69,11280,495,270,2565,2220,10.68,2.14,0,NA,0
F,NULL,ASSOC,0,54,30,33,3.19,101605,2565,2520,2565,1190,45,2.79,0,85,1
M,NULL,ASSOC,0,38,31,33,3.67,135070,2520,2520,2565,2075,6,NA,0,88.5,1
F,NULL,SOMECOLL,0,38,21,24,3.71,123496,2520,2520,2565,1169,17,3.31,0,86,1
F,NULL,SOMECOLL,0,157,20,22,2.69,121569,2925,2565,2565,6011,34,2.59,0,77,1
F,P,BACH,0,109,33,36,3.33,124412,2567,2522,2565,262,34,2.48,10269,72.5,1
F,NULL,ASSOC,0,46,32,34,3.79,107840,2520,2520,2565,865,38,2.91,0,NA,1
F,S,ASSOC,0,88,27,31,3.16,130007,2667,2532,2565,5663,20.03,2.6,20415,80,1
F,NULL,SOMECOLL,0,90,22,24,3.55,104245,2520,2520,2565,1120,42,3.05,0,80.39,1
F,NULL,SOMECOLL,0,60,24,27,1.37,17265,360,180,2565,2535,4,2.25,0,77.5,0
F,M,SOMECOLL,0,76,34,38,3.34,141695,2520,2520,2565,1335,NA,2,0,86.5,1
F,NULL,SOMECOLL,0,5,24,27,1.41,8277,585,405,2565,2523,26.69,2.27,1501,NA,0
M,M,BACH,0,44,29,32,3.64,135598,2520,2520,2565,1592,13,2.83,0,88,1
F,S,SOMECOLL,0,91,21,24,3.47,128572,2576,2531,2565,2379,23,2.8,0,73,1
F,S,SOMECOLL,0,61,24,27,3.37,147363,2622,2577,2565,207,12,3.36,0,73,1
M,NULL,SOMECOLL,0,44,36,38,3.32,102959,2250,2250,2250,856,39,3.65,13808,NA,1
F,NULL,ASSOC,0,45,21,23,3.36,112396,2610,2565,2565,2549,39,3.18,0,NA,1
F,NULL,SOMECOLL,0,80,27,30,3.1,83505,1582.5,1485,2250,405,17,2.94,4947,82,0
F,S,SOMECOLL,0,81,23,25,3.3,118650,2865,2565,2565,2380,37,3.38,0,NA,1
F,NULL,SOMECOLL,0,19,32,34,0,1050,90,0,2250,300,10,2.25,0,78,0
F,NULL,SOMECOLL,0,5,26,29,0,9990,585,315,2565,5010,28,2.29,2499,81.5,0
F,S,SOMECOLL,0,59,19,22,3.41,127501,2520.5,2520.5,2565,1544,10.68,2.29,0,85.5,1
F,NULL,ASSOC,0,72,21,24,3.25,137990,2610,2565,2565,775,18,3.38,0,76,1
M,S,SOMECOLL,0,80,32,35,2.67,123793,2404.5,2307,2250,2647,17,2.48,0,84,1
F,S,HS,0,90,19,23,3.21,92275,1942.5,1852.5,2565,10805,6,NA,2239,NA,0
F,NULL,SOMECOLL,0,101,20,22,2.99,70260,2002.5,1747.5,2565,60,40,3.22,0,NA,0
F,NULL,SOMECOLL,0,63,24,27,3.04,121264,2343,2298,2250,402,23,2.64,0,NA,1
M,NULL,SOMECOLL,0,72,21,24,2.19,47554,1245,1020,2565,3596,20,2.11,21144,NA,0
M,NULL,SOMECOLL,0,38,22,25,0.77,6985,180,45,2565,2765,NA,3.14,1520,NA,0
F,S,BACH,0,80,20,22,3.31,119376,2520,2520,2565,564,26,3.21,0,NA,1
M,S,SOMECOLL,0,9,25,28,3.39,138205,2520,2520,2565,965,10,2.39,7160,NA,1
M,S,ASSOC,0,44,24,27,3.25,125830,2520,2520,2565,3395,25,2.71,0,79,1
M,NULL,SOMECOLL,0,153,19,22,3.39,132782,2520,2520,2565,433,14.69,2.65,7060,89,1
F,S,SOMECOLL,0,88,35,39,2.57,23735,396,225,2565,325,NA,2.42,0,70,0
M,NULL,ASSOC,0,79,40,43,3.69,130990,2520,2520,2565,920,9.32,3.87,0,85,1
F,S,SOMECOLL,0,94,25,28,3.07,138170,2520,2520,2565,1000,7,2.88,0,79,1
F,NULL,BACH,0,39,24,27,3.46,134635,2550,2550,2565,1370,10.68,2.39,0,82,1
F,NULL,SOMECOLL,0,38,20,23,2.62,23091,720,585,2565,4209,15,NA,1241,85.5,0
F,S,SOMECOLL,0,100,19,22,3.87,134507,2550,2550,2565,1213,13,3.59,0,NA,1
F,S,SOMECOLL,0,41,21,23,3.3,120385,2520,2520,2565,5090,19.36,2.76,0,79.5,1
F,NULL,SOMECOLL,0,82,22,24,3.42,111104,2514,2514,2565,526,35.39,3.27,0,NA,1
F,S,SOMECOLL,0,60,21,24,3.23,116435,2295,2295,2250,5905,14,2.33,89,NA,1
F,NULL,SOMECOLL,0,68,24,28,3.33,10200,180,135,2565,150,NA,2.4,4717,70.5,0
F,S,SOMECOLL,0,59,20,22,3.63,110287,2520,2520,2565,1658,27,NA,44045,NA,1
F,S,SOMECOLL,0,58,24,27,3.5,149231,2595,2565,2565,664,3,2.73,0,84,1
F,NULL,SOMECOLL,0,58,21,23,3.5,104290,2520,2520,2565,1010,34,3.59,0,NA,1
F,NULL,SOMECOLL,0,131,23,25,3.37,111025,2565,2520,2565,2135,38,3.11,0,83,1
F,NULL,HS,0,59,18,22,2.45,32176,585,495,2565,2324,NA,NA,0,NA,0
F,NULL,SOMECOLL,0,79,29,32,3.24,129421,2520,2520,2565,1954,14.67,2.42,0,NA,1
F,S,SOMECOLL,0,107,23,26,3.4,113766,2550,2550,2565,2559,32,3.18,0,NA,1
F,NULL,ASSOC,0,81,42,44,3.56,94030,2250,2250,2250,485,47,3.07,9578,NA,1
F,S,SOMECOLL,0,66,28,31,3.18,140605,2700,2565,2565,2750,18,2.22,0,77.5,1
M,NULL,BACH,0,61,24,28,3,135865,2595,2565,2565,1865,14,2.86,0,80.5,1
F,NULL,ASSOC,0,13,34,37,3.43,105665,2565,2520,2565,2275,38,2.92,0,80.5,1
F,NULL,ASSOC,0,72,29,31,3.55,102528,2430,2295,2250,4872,40,2.89,0,NA,1
F,NULL,SOMECOLL,0,44,23,26,3.34,108599,2520,2520,2565,9326,25,2.38,1955,NA,1
F,S,SOMECOLL,0,66,23,26,3.47,127837,2289,2289,2250,512,9,2.91,9287,76,1
F,NULL,SOMECOLL,0,52,17,21,1.5,8670,180,90,2565,150,NA,NA,0,82.5,0
M,NULL,SOMECOLL,0,41,31,34,0,4260,90,0,2250,1740,NA,3.09,0,82,0
M,S,SOMECOLL,0,18,24,27,2.57,70510,1425,1065,2565,4460,3.34,2.18,0,89,0
M,S,HS,0,97,19,22,3.1,147275,2541,2541,2565,385,NA,NA,4267,NA,1
F,S,SOMECOLL,0,82,21,24,3.35,140667,2532,2532,2565,506,10,2.35,0,69.5,1
F,NULL,SOMECOLL,0,13,20,23,2.17,17230,360,270,2565,590,3,1.51,0,80,0
F,S,BACH,0,60,27,30,3.34,102025,2565,2520,2565,5165,38.37,3.27,0,NA,1
F,S,SOMECOLL,0,102,23,25,2.61,37990,1155,1065,2565,1440,31.38,2.44,0,73,0
F,M,BACH,0,41,24,27,2.63,13680,270,270,2565,60,NA,2.62,0,85.5,0
M,NULL,ASSOC,0,12,28,31,3.41,128350,2520,2520,2565,4865,12,3.09,0,78,1
F,NULL,SOMECOLL,0,60,21,23,3.78,108950,2520,2520,2565,895,35.68,2.77,4219,NA,1
F,M,BACH,0,54,33,35,2.84,59104,1275,1140,2565,581,19,2.45,0,77,0
F,S,SOMECOLL,0,109,21,25,2.62,89823,1680,1428,2565,2577,NA,3.33,0,NA,0
F,M,ASSOC,0,128,31,33,3.89,111355,2520,2520,2565,860,32,3.51,25534,NA,1
M,NULL,ASSOC,0,101,44,46,3.27,122780,2595,2565,2565,160,38,2.55,0,NA,1
F,S,BACH,0,24,20,23,3.7,115503,2520,2520,2565,567,27.7,3.53,13077,NA,1
F,NULL,SOMECOLL,0,54,37,40,0,4800,135,0,2250,2400,10,NA,1606,93.5,0
F,S,BACH,0,75,27,29,3.63,124907,2610,2565,2565,538,25.02,2.45,5431,NA,1
M,S,SOMECOLL,0,41,22,25,3.37,141120,2640,2550,2565,780,11,2.87,0,NA,1
M,M,ASSOC,0,24,36,39,3.18,120100,2610,2565,2565,650,27,2.68,0,86.5,1
F,NULL,SOMECOLL,0,65,21,24,3.75,121332,2550,2550,2565,1048,32,3.89,37374,NA,1
M,S,BACH,0,10,31,34,3.4,131280,2550,2550,2565,3945,9,2.57,3906,NA,1
F,NULL,SOMECOLL,0,111,24,26,3.76,107860,2520,2520,2565,1640,37,3.59,414,NA,1
F,NULL,SOMECOLL,0,23,23,26,2.99,71347,1410,1110,2565,248,8,2.41,0,84.5,0
F,S,BACH,0,27,20,23,3.59,109467,2520,2520,2565,1283,33,3.09,158,NA,1
F,NULL,BACH,0,94,41,43,2.96,83884,1852.5,1762.5,2565,2516,26.67,2.53,0,NA,0
M,NULL,SOMECOLL,0,61,22,25,3.15,111270,2640,2565,2565,2455,33,NA,0,NA,1
F,S,SOMECOLL,0,53,20,23,2.79,71283,1725,1455,2565,3267,22,2.68,0,76,0
F,NULL,ASSOC,0,24,22,24,3.35,109405,2565,2520,2565,2600,43,3.13,0,NA,1
F,S,ASSOC,0,66,23,26,3.74,108247,2550,2550,2565,818,37,3.28,0,88.5,1
M,M,SOMECOLL,0,4,29,32,3.51,114735,2250,2250,2250,1965,26,2.72,10429,76,1
M,M,BACH,0,89,38,40,3.26,127893,2520,2520,2565,987,17,2.39,0,84,1
M,NULL,SOMECOLL,0,6,24,27,0,4535,450,270,2565,1885,23,2.03,0,77.83,0
F,NULL,SOMECOLL,0,83,21,24,1.63,22150,450,180,2565,3050,NA,2.98,11226,77.5,0
F,S,HS,0,61,18,21,3.36,142320,2520,2520,2565,2595,NA,NA,0,81.5,1
M,NULL,SOMECOLL,0,30,41,44,3.2,147920,2595,2565,2565,1915,NA,NA,0,78,1
F,NULL,ASSOC,0,6,35,38,0,4800,225,90,2565,0,6,2.6,12365,83.5,0
F,NULL,SOMECOLL,0,80,35,38,2.21,15900,450,180,2565,3300,NA,3.63,0,78.5,0
M,NULL,SOMECOLL,0,54,23,26,2.43,98200,1777.5,1635,2565,1550,NA,NA,0,NA,0
M,NULL,BACH,0,27,24,27,3.31,77893,1950,1777.5,2565,652,28.03,3.05,0,86.5,0
M,NULL,BACH,0,61,22,24,3.03,119095,2595,2565,2565,5720,31,2.95,NA,NA,1
M,NULL,SOMECOLL,1,24,20,23,3.75,132090,2550,2550,2565,510,16.7,3.05,14709,NA,1
F,NULL,SOMECOLL,0,108,26,28,3.42,106623,2514,2514,2565,2113,42,3.13,412,82.5,1
M,S,SOMECOLL,0,32,23,26,0.51,13275,270,45,2565,2925,NA,NA,0,79.5,0
F,NULL,SOMECOLL,0,17,18,21,1.18,10098,225,90,2565,3102,NA,NA,0,68,0
F,NULL,SOMECOLL,0,47,20,23,3.48,13440,765,765,2565,60,30,NA,27380,NA,0
F,S,BACH,0,61,26,28,3.34,104685,2520,2520,2565,390,42.36,2.97,0,NA,1
M,S,BACH,0,46,28,31,3.47,135675,2617.5,2520,2565,5320,9.5,2.92,0,NA,1
F,NULL,ASSOC,0,12,25,27,2.39,33364,1335,1065,2565,676,40,3.26,0,NA,0
F,S,SOMECOLL,0,38,21,23,3.47,124120,2520,2520,2565,2600,27,2.83,2025,80.5,1
F,S,BACH,0,38,23,26,3.61,131980,2520,2520,2565,2255,8.34,3.32,0,NA,1
M,S,MAST,0,27,27,30,3.6,124397,2520,2520,2565,163,19,NA,0,NA,1
F,D,SOMECOLL,0,54,39,42,3.53,122570,2520,2520,2565,1455,21,3.69,0,92,1
M,NULL,SOMECOLL,0,107,27,29,3.7,109375,2520,2520,2565,1550,37,3.75,0,87.5,1
F,NULL,ASSOC,0,58,24,26,3.37,102075,2520,2520,2565,1055,45,2.67,602,NA,1
M,S,BACH,0,65,27,30,3.56,120750,2610,2565,2565,540,29.36,2.28,1408,NA,1
F,M,SOMECOLL,0,25,28,30,3.49,112626,2520,2520,2565,2724,27,2.73,6042,81,1
M,NULL,SOMECOLL,0,68,29,32,0.32,12270,270,45,2250,2610,10,2.7,0,77,0
F,S,SOMECOLL,0,81,23,26,3.07,118230,2295,2295,2250,1540,23,2.68,0,91,1
F,NULL,HS,0,30,20,23,1.1,9177,270,90,2565,3243,NA,NA,56017,77,0
F,NULL,SOMECOLL,0,62,25,27,3.35,91095,2250,2250,2250,3305,49.02,2.66,0,NA,1
F,NULL,SOMECOLL,0,46,22,24,2.36,49110,1245,1155,2565,2520,23.37,2.6,30592,NA,0
F,S,ASSOC,0,60,27,30,3.3,129858,2550,2550,2565,1042,18,3.44,2962,87.5,1
F,NULL,SOMECOLL,0,59,24,27,3.12,151425,2625,2595,2565,720,NA,3.83,0,76.5,1
F,NULL,HS,0,111,18,21,2.75,23940,450,270,2565,0,NA,NA,13726,NA,0
M,S,SOMECOLL,0,101,21,24,2.89,130035,2340,2250,2250,5895,10,3.12,0,85,1
