SexCode,MaritalCode,PrevEdCode,DDVeteran,DaysEnrollToStart,AgeAtStart,AgeAtGrad,GPA,MinutesAttended,HoursAttempt,HoursEarned,HoursReq,MinutesAbsent,TransferCredits,TransferGPA,MinEFC,MaxENTEntranceScore,gradFlag
M,M,BACH,0,80,27,30,2.76,97540,2325,2295,2250,5825,35,NA,0,83.5,1
F,UN,SOMECOLL,0,89,28,31,2.26,55490,1035,720,2565,3910,NA,NA,0,80.5,0
M,UN,SOMECOLL,0,101,20,23,3.23,129824,2617.5,2520,2565,3557,18,NA,11356,83,1
F,NULL,BACH,0,41,28,30,3.65,132240,2550,2550,2565,930,13,2.9,0,NA,1
F,UN,SOMECOLL,0,68,22,26,3.29,143344,2797.5,2565,2565,7531,9,NA,0,NA,1
M,UN,SOMECOLL,0,88,33,37,3.62,142650,2520,2520,2565,1410,NA,NA,6913,83,1
F,UN,SOMECOLL,0,157,20,23,3.25,108227,2520,2520,2565,1828,37,NA,33596,NA,1
M,NULL,SOMECOLL,0,128,25,28,2.39,47460,1410,1335,2565,345,38,3.27,0,81.5,0
F,UN,SOMECOLL,0,123,22,25,2.67,49937,1200,1110,2565,6268,14,NA,0,NA,0
M,UN,SOMECOLL,0,158,31,34,3.2,136865,2520,2520,2565,620,6,NA,0,84.94,1
M,NULL,SOMECOLL,0,89,22,25,3.16,116383,2514,2514,2565,1551,32,2.2,0,84,1
F,NULL,SOMECOLL,0,74,22,24,3.69,109606,2700,2520,2565,5909,34,NA,0,89,1
F,UN,SOMECOLL,0,86,20,23,2.24,33240,765,585,2565,1860,9,1.79,18624,81,0
F,UN,ASSOC,0,75,35,38,3.67,138291,2520,2520,2565,2714,3,NA,0,NA,1
F,NULL,SOMECOLL,0,123,39,41,3.44,121495,2520,2520,2565,2840,14,NA,4490,92,1
F,NULL,SOMECOLL,0,90,21,23,2.68,83470,1995,1920,2565,3395,32,2.88,0,83,0
F,UN,SOMECOLL,0,52,22,26,3.23,146965,2655,2520,2565,2255,NA,NA,0,NA,1
M,M,BACH,0,60,25,28,3.31,138301,2520,2520,2565,4364,NA,NA,0,81,1
M,UN,SOMECOLL,0,81,30,33,2.87,112645,2584,2509,2565,5750,22,2.79,0,79.5,1
F,UN,SOMECOLL,0,108,20,23,3.71,122446,2520,2520,2565,6054,13,NA,0,NA,1
F,NULL,SOMECOLL,0,94,19,22,2.81,85630,1635,1425,2565,2300,6,2.6,8412,83.5,0
F,NULL,ASSOC,0,75,22,24,3.33,101175,2520,2520,2565,1110,37,NA,2918,88.5,1
F,UN,SOMECOLL,0,67,25,27,3.24,124518,2520,2520,2565,3277,17,2.72,1603,73.5,1
F,M,BACH,0,88,32,34,3.37,87439,2250,2250,2250,3981,47,NA,466,NA,1
F,UN,SOMECOLL,0,119,20,22,3.11,65827,1725,1635,2565,1808,31,NA,6676,NA,0
F,UN,SOMECOLL,0,33,23,26,3.27,132110,2520,2520,2565,5290,9,1.3,0,83,1
F,NULL,SOMECOLL,0,86,31,34,3.35,103229,2250,2250,2250,5871,27,NA,0,81,1
F,NULL,SOMECOLL,0,51,24,27,2.68,28560,585,495,2250,600,13,2.3,0,83.5,0
F,M,BACH,0,30,33,36,3.55,137325,2520,2520,2565,975,NA,3.32,11385,91,1
F,UN,SOMECOLL,0,137,20,23,0.62,13115,270,90,2565,2485,NA,NA,6546,82.5,0
M,NULL,SOMECOLL,0,74,20,23,3.29,142700,2520,2520,2565,580,NA,2.73,2406,84,1
